date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:48:03	74329/74329	---MCZ	200	added ('OK')	text/html	etag:W/%225f67519bdf2ad326210b60ec3f742f48%22	https://lemorecp.vercel.app/lemorehotels.com/index.html	C:/lemore/lemorecp/lemorecp.vercel.app/lemorehotels.com/index.html	(from )
10:48:04	1492/1492	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Jul%202025%2003:48:04%20GMT	https://lemorecp.vercel.app/robots.txt		(from )
10:48:04	532/532	---M--	200	added ('OK')	image/png	etag:%22042d14b53bddbdb381dcba8fa4a05244%22	https://lemorecp.vercel.app/lemorehotels.com/wp-content/uploads/2023/07/lemore-favicon-32x32-1.png	C:/lemore/lemorecp/lemorecp.vercel.app/lemorehotels.com/wp-content/uploads/2023/07/lemore-favicon-32x32-1.png	(from https://lemorecp.vercel.app/lemorehotels.com/index.html)
10:48:05	3733/3733	---M--	200	added ('OK')	image/png	etag:%2249efc7569ff5745ab45fbd28291d753d%22	https://lemorecp.vercel.app/lemorehotels.com/wp-content/uploads/2023/07/lemore-favicon-192x192-1.png	C:/lemore/lemorecp/lemorecp.vercel.app/lemorehotels.com/wp-content/uploads/2023/07/lemore-favicon-192x192-1.png	(from https://lemorecp.vercel.app/lemorehotels.com/index.html)
10:48:05	3374/3374	---M--	200	added ('OK')	image/png	etag:%22faa5df53de9b807d3c112bc88ce6f8cc%22	https://lemorecp.vercel.app/lemorehotels.com/wp-content/uploads/2023/07/lemore-favicon-180x180-1.png	C:/lemore/lemorecp/lemorecp.vercel.app/lemorehotels.com/wp-content/uploads/2023/07/lemore-favicon-180x180-1.png	(from https://lemorecp.vercel.app/lemorehotels.com/index.html)
10:48:05	34283/34283	---MC-	403	error ('Forbidden')	text/html	date:Sat,%2012%20Jul%202025%2003:48:05%20GMT	https://lemorecp.vercel.app/lemorehotels.com/wp-content/uploads/2023/07/lemore-favicon-270x270-1.png	C:/lemore/lemorecp/lemorecp.vercel.app/lemorehotels.com/wp-content/uploads/2023/07/lemore-favicon-270x270-1.4.delayed	(from https://lemorecp.vercel.app/lemorehotels.com/index.html)
10:48:06	34283/34283	---MC-	403	error ('Forbidden')	text/html	date:Sat,%2012%20Jul%202025%2003:48:06%20GMT	https://lemorecp.vercel.app/lemorehotels.com/en/index.html	C:/lemore/lemorecp/lemorecp.vercel.app/lemorehotels.com/en/index.5.delayed	(from https://lemorecp.vercel.app/lemorehotels.com/index.html)
10:48:06	104484/104484	---MCZ	200	added ('OK')	text/css	etag:W/%2203c0f2128c8dd615b1691c168f1d4456%22	https://lemorecp.vercel.app/lemorehotels.com/wp-includes/css/dist/block-library/style.min072b.css?ver=6.3.5	C:/lemore/lemorecp/lemorecp.vercel.app/lemorehotels.com/wp-includes/css/dist/block-library/style.min072b072b.css	(from https://lemorecp.vercel.app/lemorehotels.com/index.html)
10:48:07	34283/34283	---MC-	403	error ('Forbidden')	text/html	date:Sat,%2012%20Jul%202025%2003:48:07%20GMT	https://lemorecp.vercel.app/lemorehotels.com/wp-content/themes/letoh/style072b.css?ver=6.3.5	C:/lemore/lemorecp/lemorecp.vercel.app/lemorehotels.com/wp-content/themes/letoh/style072b.7072b.delayed	(from https://lemorecp.vercel.app/lemorehotels.com/index.html)
10:48:07	34283/34283	---MC-	403	error ('Forbidden')	text/html	date:Sat,%2012%20Jul%202025%2003:48:07%20GMT	https://lemorecp.vercel.app/lemorehotels.com/wp-content/themes/letoh/assets/js/jquery.min072b.js?ver=6.3.5	C:/lemore/lemorecp/lemorecp.vercel.app/lemorehotels.com/wp-content/themes/letoh/assets/js/jquery.min072b.8072b.delayed	(from https://lemorecp.vercel.app/lemorehotels.com/index.html)
10:48:08	80372/80372	---MCZ	200	added ('OK')	application/javascript	etag:W/%220c204af78933c0e45232b94876303897%22	https://lemorecp.vercel.app/lemorehotels.com/wp-content/themes/letoh/assets/js/bootstrap.bundle.min072b.js?ver=6.3.5	C:/lemore/lemorecp/lemorecp.vercel.app/lemorehotels.com/wp-content/themes/letoh/assets/js/bootstrap.bundle.min072b072b.js	(from https://lemorecp.vercel.app/lemorehotels.com/index.html)
10:48:08	171789/171789	---MCZ	200	added ('OK')	application/javascript	etag:W/%2214647a41177e5a93f2c9117e2a79935a%22	https://lemorecp.vercel.app/lemorehotels.com/wp-content/themes/letoh/assets/js/letoh.bundle.min072b.js?ver=6.3.5	C:/lemore/lemorecp/lemorecp.vercel.app/lemorehotels.com/wp-content/themes/letoh/assets/js/letoh.bundle.min072b072b.js	(from https://lemorecp.vercel.app/lemorehotels.com/index.html)
